IP,Cx,Cy,a0,a2,a3,a4,c,d,e
192.168.8.83,505.068415,384.877680,-2.131806e+02,1.543840e-03,-3.369610e-06,1.099054e-08,0.999491,-0.000084,-0.000151
192.168.1.200,505.068415,384.877680,-2.131806e+02,1.543840e-03,-3.369610e-06,1.099054e-08,0.999491,-0.000084,-0.000151
192.168.1.201,516.787450,368.994461,-2.167657e+02,1.332068e-03,-1.987757e-06,8.462064e-09,1.001125,0.000277,-0.000050
192.168.1.202,519.716307,386.350865,-2.110893e+02,1.638206e-03,-4.016119e-06,1.247224e-08,1.001703,-0.000108,-0.000428
192.168.1.203,515.925170,381.753658,-2.130349e+02,1.420321e-03,-2.471667e-06,9.280798e-09,1.000367,0.000549,0.000026
192.168.1.204,510.676037,390.350038,-2.117638e+02,1.441391e-03,-2.639849e-06,9.592439e-09,0.999966,-0.000108,0.000435
192.168.1.205,521.700967,381.824922,-2.115883e+02,1.450538e-03,-2.518810e-06,8.933131e-09,1.000410,-0.000002,0.000632
192.168.1.206,531.791946,391.917832,-2.120490e+02,1.335863e-03,-1.663707e-06,7.460046e-09,1.001053,-0.000274,-0.000540
192.168.1.207,519.028926,390.408861,-2.138979e+02,1.410354e-03,-2.245347e-06,8.583469e-09,1.000756,0.000267,0.000356
192.168.1.208,505.285597,389.246031,-2.169968e+02,1.533924e-03,-3.500920e-06,1.160113e-08,0.999762,-0.000142,0.000557
192.168.1.209,521.108866,385.250264,-2.118534e+02,1.564697e-03,-3.217810e-06,1.038235e-08,1.000661,0.000292,0.000212
192.168.1.210,523.105707,373.307531,-2.136096e+02,1.510697e-03,-3.225000e-06,1.074676e-08,1.000162,0.000619,-0.000443
192.168.1.211,512.880466,422.701786,-2.095464e+02,1.333647e-03,-1.875726e-06,8.056770e-09,0.999899,0.000251,-0.000380
192.168.1.212,518.859532,397.556800,-2.114353e+02,1.472624e-03,-2.664189e-06,9.428169e-09,1.000677,0.000242,-0.000237
192.168.1.213,508.172898,381.065257,-2.154219e+02,1.341974e-03,-1.630087e-06,7.005128e-09,1.000128,0.000112,-0.000698
